name|contaminant_Gaia_DR3_id|angDist|Gmag
TIC 426439059|4098783944559931520|8.923872|19.425539
TIC 426439059|4098783944559932800|9.270295|19.130526
TIC 426439059|4098783948878796416|9.487214|20.20018
TIC 426439059|4098783948851549184|9.731276|19.869841
TIC 260357221|6887818990804567424|0.470671|9.231231
TIC 321573830|4060812795826133120|0.883186|16.553989
TIC 321573830|4060812791489843072|4.617431|7.176475
TIC 321573830|4060812795826794368|6.449948|18.759706
TIC 321573830|4060812795805607552|8.057734|19.983395
TIC 321573830|4060812795811395456|8.147027|19.869184
TIC 321573830|4060812795805618048|8.416547|20.60273
TIC 321573830|4060812795826131968|8.785832|20.0322
TIC 321573830|4060812795826132736|9.131083|20.318901
TIC 321573830|4060812795826132864|9.226529|19.878374
TIC 321573830|4060812795826131712|9.376312|18.666286
TIC 321573830|4060812795836038912|9.485376|17.416021
TIC 321573830|4060812795826132608|9.602268|20.799219
TIC 321573830|4060812795814690688|9.742049|17.850557
TIC 321573830|4060812795826462976|9.902998|20.105267
TIC 270481039|2313538014356283648|0.229289|9.286261
TIC 247985093|2824770686019003904|5.376413|9.043998
TIC 88456034|5074539048892676224|0.05934|9.119157
TIC 147950612|1074133494953915648|0.205664|9.009719
TIC 347736056|5976752965855863808|0.179617|9.437168
TIC 347736056|5976752970163441280|0.424504|9.64894
TIC 347736056|5976752970209823488|3.284928|16.760309
TIC 347736056|5976752970209684480|5.209382|19.594362
TIC 347736056|5976752970163423872|6.547974|16.09206
TIC 347736056|5976752970215395584|6.565544|20.528751
TIC 347736056|5976752970209779584|7.19019|20.518484
TIC 347736056|5976752970169243776|8.186755|20.527325
TIC 347736056|5976752970210310400|8.916665|20.888256
TIC 347736056|5976752970170210048|9.108752|20.448595
TIC 347736056|5976752970165718144|9.451157|18.033644
TIC 347736056|5976752965863042432|9.743725|17.95529
TIC 347736056|5976752970209431296|9.833043|18.420326
TIC 347736056|5976752970165718016|9.882097|20.874306
TIC 379499784|5965924361166271104|5.715167|12.932096
TIC 379499784|5965924361173487232|7.379067|18.595959
TIC 379499784|5965924361166284288|7.637985|17.220304
TIC 379499784|5965924361179144832|8.472069|7.92698
TIC 379499784|5965924361179148672|9.236196|18.887409
TIC 16549954|944619821295003008|0.661428|10.739166
TIC 16549954|944619821294941824|4.976985|7.778549
TIC 64031018|5129781639808256640|0.211201|9.109869
TIC 510264574|432916386859410688|0.68736|6.905178
TIC 705499825|2887731882922767744|0.635943|2.804179
TIC 840317207|643819484617141504|0.909428|3.530155
TIC 522731275|248577867988535296|0.845467|2.982313
TIC 181239866|5385883324126527616|0.879577|11.695258
TIC 181239866|5385883324123550848|1.185025|11.654929
TIC 181239866|5385883324123549056|7.346761|20.009083
TIC 73499040|5416513965732438144|7.053224|12.271125
TIC 44764568|5431884382368809728|4.459676|11.931486
TIC 44764568|5431884378073753984|4.93189|11.491858
TIC 44764568|5431884382371985792|6.618951|21.094625
TIC 106504049|5442691069840042112|4.135725|10.194549
TIC 106504049|5442691069843920384|7.332951|22.045116
TIC 188077909|5457654151785940224|1.564512|11.879092
TIC 188077909|5457654147488781952|1.88356|11.663958
TIC 29727593|5460446292845923328|5.610589|11.029858
TIC 423443452|5475827257925066368|6.686775|10.213023
TIC 423443452|5475827257926250368|6.879624|10.220029
TIC 430590567|5522248295266281472|2.154363|10.067204
TIC 430590567|5522248295261155968|9.19721|20.115223
TIC 22970702|5561082251376524544|2.224655|12.817463
TIC 22970702|5561082255675793920|2.409645|12.734845
TIC 157399917|5565570359057263360|2.238112|12.000418
TIC 157399917|5565570359061565056|2.77814|19.930067
TIC 22147322|5657274198660921472|2.998713|10.815969
TIC 875331191|5657609064374145792|0.955651|6.552696
TIC 875331191|5657609068668792192|2.714435|null
TIC 52103995|5669429299704388352|8.454407|9.239718
TIC 385156830|5673125406825164544|8.439377|12.218052
TIC 437127546|5700706969539658880|5.214616|16.368471
TIC 437127546|5700706763386573824|5.358113|21.139425
TIC 437127546|5700706759093553792|5.988686|20.0485
TIC 437127546|5700706969549294720|6.558555|14.95361
TIC 332304837|5718063035470961152|6.423931|10.713723
TIC 332304837|5718063035465043968|7.898654|13.597538
TIC 422124638|5725122960972658048|3.898963|11.007941
TIC 422124638|5725122965265271680|4.793607|12.781098
TIC 422124638|5725122965270676096|8.354035|16.032475
TIC 51323309|5753636772107789312|6.04279|12.859276
TIC 357789289|5783969514781191680|8.003106|13.453998
TIC 357789289|5783969514778845568|8.054362|13.371545
TIC 357789289|5783969514778845184|8.283465|13.368021
TIC 208494812|5832019031971136768|1.912594|18.661236
TIC 208494812|5832019031957567488|3.816297|10.975234
TIC 208494812|5832019031957564544|5.459693|19.830587
TIC 208494812|5832019031957581440|5.729265|19.467295
TIC 208494812|5832019031957566208|6.708469|18.078987
TIC 208494812|5832019031958393728|6.958791|19.544008
TIC 208494812|5832019031958278400|7.540825|19.418789
TIC 208494812|5832019031957566080|8.330446|20.725845
TIC 208494812|5832019031958278272|8.978276|19.116974
TIC 208494812|5832019031957556736|9.653672|18.886345
TIC 193149390|5893911400455489920|2.520262|10.364444
TIC 193149390|5893911400462937088|7.807153|19.644329
TIC 193149390|5893911400468236544|8.978584|17.823536
TIC 193149390|5893911400462660352|9.47395|20.803265
TIC 471012262|6039144001564707072|8.464956|11.715765
TIC 72748505|6173812151364882688|7.870546|11.373799
TIC 124147486|6184207793287479168|6.064913|12.893529
TIC 471011155|6228695270696328832|9.654219|19.961147
TIC 79310780|6322245323464909440|4.811125|12.269525
TIC 79310780|6322245327760092800|5.09269|12.289263
TIC 79310780|6322245224682035456|5.394425|12.277241
TIC 152865184|6546793777137875200|5.166464|12.34201
TIC 152865184|6546793777137875584|9.964844|15.484479
TIC 197736350|6575069780230061824|4.790266|20.584906
TIC 209308404|6622318578014909440|3.663304|11.638884
TIC 209308404|6622318573720116864|5.158399|12.272125
TIC 209363450|6623761137270596992|5.237659|10.274117
TIC 424876997|6659849204841549824|6.321569|12.234286
TIC 424876997|6659849204839162368|7.111314|20.425341
TIC 399920963|11063251639242752|4.902014|12.990726
TIC 46504038|119689228028269696|6.423498|17.521641
TIC 60513922|153316936464424320|8.755288|13.110126
TIC 155607629|178902022287983616|7.413437|20.751024
TIC 643743403|251529919268255616|0.675995|7.544423
TIC 643743403|251529919269320064|1.232534|12.256441
TIC 643743403|251529919266979200|8.649747|20.928072
TIC 286520195|256020908867161344|3.803057|13.089593
TIC 286520195|256020908870126208|4.176498|12.445678
TIC 470449735|275424128001326720|6.424668|20.208889
TIC 471012537|278584536737565568|2.964215|20.89905
TIC 471012537|278584536738548864|3.709516|12.347996
TIC 471012537|278584536735681664|7.270864|20.469387
TIC 471012537|278584536739262464|8.709124|20.798809
TIC 174326589|313386725454611200|3.370586|12.740312
TIC 129762186|331611611723173760|2.676273|11.585277
TIC 331805704|378941498488376704|1.454957|12.422848
TIC 331805704|378941494193278976|1.703849|12.447782
TIC 331805704|378941562912998656|9.637714|17.090563
TIC 191228368|389034602916741248|9.098089|16.234835
TIC 196524066|401326421358047744|2.04848|12.662491
TIC 196524066|401326421360087680|2.099172|12.672346
TIC 196524066|401326215201657984|6.789666|20.423304
TIC 702974015|480029532396056832|1.399951|9.93894
TIC 702974015|480029532393551360|1.813409|null
TIC 702974015|480029532396560256|4.424408|17.522461
TIC 10964358|508253166949683456|0.302226|12.594882
TIC 10964358|508253171247485312|0.575644|12.684818
TIC 10964358|508253166957432960|7.798892|21.026163
TIC 471012552|544900684075863808|4.803216|13.458184
TIC 471012552|544900684074401536|6.111471|21.099426
TIC 471012552|544900684074974720|6.295763|12.899823
TIC 283784587|585250252550906624|7.36975|9.97131
TIC 283784587|585250248258396416|7.667653|10.329249
TIC 330636179|610898182336062592|3.43108|13.089106
TIC 330636179|610898178040062848|5.30364|10.299391
TIC 87950702|640804314495365888|6.514966|9.353343
TIC 8766424|700595069620196992|1.150492|11.21613
TIC 117159425|702991695731881728|6.483424|12.773818
TIC 56936482|817747655601865088|5.309967|13.093708
TIC 252487584|834495451075108864|9.733524|12.615822
TIC 252487584|834495451075774976|9.847097|12.632814
TIC 459178527|852214630713523328|7.84703|13.35556
TIC 423084600|875339696707082368|2.581161|11.022854
TIC 423084600|875339692413363584|2.956626|10.82515
TIC 165059181|891106452933162112|2.47334|12.587302
TIC 165059181|891106448637214720|8.789212|20.706326
TIC 99956397|1056412764832011520|5.096498|13.563326
TIC 99956397|1056412769128081152|8.030989|12.86153
TIC 141476700|1114896308004715136|5.547848|17.232851
TIC 138469142|1149897160435827200|2.721991|12.113543
TIC 459902985|1150745334872715648|3.207194|9.607806
TIC 459902985|1150745330577624064|3.512165|9.483481
TIC 255885414|1223051551685692800|5.550601|13.649828
TIC 135222057|1233620267901771264|3.28768|12.712786
TIC 135222057|1233620267902608768|3.485728|12.690121
TIC 135222057|1233620267902790656|3.676881|12.667755
TIC 135222057|1233620263608896640|8.797009|20.072001
TIC 135154865|1247168140942467200|2.249653|11.659523
TIC 135154865|1247168136646697728|2.291497|11.499171
TIC 17469691|1318760229245800448|2.349888|12.340461
TIC 270363567|1360829399549140864|1.593296|12.556078
TIC 270363567|1360829399550058496|2.070276|12.178724
TIC 115582980|1408029509584967168|5.090938|7.521443
TIC 166672531|1457487947784616192|3.765558|13.479299
TIC 371834383|1526985908816139008|4.344448|11.213887
TIC 148910748|1680921595450031232|4.113516|10.822543
TIC 148910748|1680921595449613696|4.244495|11.041381
TIC 288495727|1740318210014704256|4.352627|12.926579
TIC 60402214|1746744580601671808|1.541152|12.229326
TIC 60402214|1746744576305435904|1.700162|12.205923
TIC 303032027|1775651840806925312|6.624758|9.970837
TIC 303032027|1775651840806071680|7.123968|20.095928
TIC 248024345|1800750014779745152|5.622279|10.749838
TIC 331684556|1814258511555617920|4.779224|17.933187
TIC 331684556|1814258511555619072|5.0493|18.833071
TIC 331684556|1814070838667074560|8.838388|18.199478
TIC 331684556|1814070838668708224|8.991074|16.419752
TIC 298492201|1851511649134672384|3.00134|20.681282
TIC 298492201|1851511649139822208|6.034091|10.422618
TIC 166855070|1868576481912982400|1.337843|13.143676
TIC 166855070|1868576481922989824|1.777158|13.213416
TIC 418998977|1930969884139574016|1.921959|11.205064
TIC 418998977|1930969884141493888|2.181439|11.212482
TIC 418998977|1930969884139714816|4.325052|20.771498
TIC 471012706|1953952391581618432|3.457631|9.651061
TIC 471012706|1953952387283004544|4.192792|11.071051
TIC 315365617|2003261399275537152|4.307061|18.746864
TIC 315365617|2003261399288097536|6.55445|16.322447
TIC 271751654|2012238465046622848|5.205513|11.147219
TIC 271751654|2012238465043374336|6.505779|20.77335
TIC 271751654|2012238465045216896|7.339622|12.186851
TIC 72020292|2034802780142407040|5.150931|17.230898
TIC 72020292|2034802883191027200|5.851108|19.57937
TIC 72020292|2034802883184109312|5.989085|17.120214
TIC 72020292|2034802780108478592|6.630691|20.759478
TIC 72020292|2034803639103473536|7.45441|19.505438
TIC 72020292|2034802883221424384|9.65303|18.430655
TIC 390420292|2036576429818858368|5.986746|13.233873
TIC 390420292|2036576429807407872|7.682553|20.38748
TIC 390420292|2036576429807406976|8.525635|20.252842
TIC 42630152|2042937585610938624|3.042613|20.709881
TIC 42630152|2042937375146932736|9.867427|18.620829
TIC 42630152|2042937551243519360|9.985161|18.967634
TIC 63644901|2056942992920781824|4.731497|20.843206
TIC 63644901|2056942992924564608|5.724386|13.042937
TIC 63644901|2056942992918341760|5.736617|12.951041
TIC 63644901|2056942988623642240|9.032964|18.639975
TIC 63644901|2056943061639332608|9.198487|20.565794
TIC 68340483|2090051761936884864|5.845189|8.260324
TIC 471012700|2146576761360909056|3.004429|12.103305
TIC 471012700|2146576757065535360|4.853972|12.018861
TIC 136721616|2164331434639561216|2.359043|16.546406
TIC 136721616|2164331434621134720|2.860358|20.451893
TIC 136721616|2164331434644559232|3.653654|15.930025
TIC 136721616|2164425271058633600|8.225462|19.413538
